repli,0.000619,0.001107
line,0.002449,0.000565
other,0.002273,0.001437
platinum,0.000455,0.000118
video,0.000227,0.000400
theyd,0.000139,0.000118
accommod,0.000417,0.000283
surpris,0.000303,0.000353
bin,0.000253,0.000118
was,0.000063,0.009491
such,0.000556,0.000518
area,0.000290,0.000400
him,0.000619,0.000612
sold,0.000189,0.000259
est,0.000164,0.000118
bos,0.000631,0.000754
disregard,0.000139,0.000118
option,0.001275,0.000707
life,0.000492,0.000612
polic,0.000189,0.000118
ewr,0.000808,0.000542
so,0.000063,0.008196
local,0.000152,0.000283
henc,0.000139,0.000118
b,0.000783,0.000848
fl,0.000278,0.000424
entir,0.000606,0.000259
children,0.000202,0.000283
wed,0.000328,0.000447
assum,0.000164,0.000118
fault,0.000480,0.000330
higher,0.000152,0.000118
whose,0.000202,0.000118
out,0.006098,0.005299
log,0.000278,0.000118
purchas,0.000505,0.000542
pull,0.000366,0.000118
opportun,0.000063,0.000306
suck,0.001351,0.000118
sound,0.000265,0.000377
lap,0.000139,0.000118
into,0.001376,0.001437
exhaust,0.000139,0.000118
wouldnt,0.000619,0.000353
specif,0.000177,0.000306
lack,0.000808,0.000118
page,0.000366,0.000259
bs,0.000354,0.000118
flown,0.000354,0.000447
revenu,0.000063,0.000259
locat,0.000518,0.000424
plan,0.000934,0.000824
c,0.000328,0.000659
luck,0.000341,0.000447
credit,0.001250,0.001083
incid,0.000189,0.000118
safeti,0.000290,0.000589
link,0.000694,0.000612
assign,0.000316,0.000330
faa,0.000189,0.000118
boston,0.000720,0.000895
under,0.000366,0.000542
disgust,0.000379,0.000118
estim,0.000215,0.000118
complaint,0.000846,0.000306
will,0.005707,0.008008
inform,0.000795,0.000542
las,0.000354,0.000636
awar,0.000189,0.000118
best,0.000846,0.003038
money,0.001086,0.000424
imaginedragon,0.000063,0.001201
but,0.000063,0.006524
nashvill,0.000240,0.000730
definit,0.000189,0.000518
wow,0.000391,0.000495
premium,0.000177,0.000306
term,0.000177,0.000118
csr,0.000152,0.000118
broke,0.000278,0.000118
babi,0.000328,0.000353
fact,0.000467,0.000118
search,0.000189,0.000118
elev,0.000063,0.000283
australia,0.000063,0.000353
would,0.004609,0.004404
our,0.005581,0.006029
jetblu,0.002033,0.006147
domest,0.000189,0.000447
disast,0.000227,0.000118
come,0.001641,0.001672
behind,0.000328,0.000118
his,0.000707,0.000824
unnecessari,0.000139,0.000118
or,0.004268,0.003580
black,0.000139,0.000259
washington,0.000063,0.000283
row,0.000745,0.000447
engin,0.000278,0.000118
usairwaysfail,0.000366,0.000118
sleep,0.000619,0.000330
client,0.000215,0.000118
daili,0.000063,0.000447
meet,0.000467,0.000259
plat,0.000139,0.000118
function,0.000164,0.000118
ft,0.000139,0.000259
brother,0.000215,0.000118
avgeek,0.000063,0.000612
visit,0.000063,0.000495
relat,0.000556,0.000400
lesson,0.000177,0.000118
lol,0.000316,0.000895
jacksonvill,0.000139,0.000118
bit,0.000278,0.000377
q,0.000063,0.000283
philli,0.000568,0.000471
choic,0.000366,0.000283
hit,0.000215,0.000306
away,0.000606,0.000754
ok,0.000619,0.001437
boy,0.000139,0.000118
look,0.001957,0.003250
coffe,0.000202,0.000118
absolut,0.000518,0.000471
somewher,0.000202,0.000118
work,0.003497,0.003227
submit,0.000391,0.000377
